path,strain_heterogeneity,assembly_approach
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.38_SRR1761714.cmseq.csv,2.134617672,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761714.cmseq.csv,8.734939759,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761714.cmseq.csv,2.404607631,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761713.cmseq.csv,9.471365639,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.38_SRR1761713.cmseq.csv,0.342966839,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761713.cmseq.csv,0.936680039,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.6_SRR1761714.cmseq.csv,0.584831398,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.65_SRR1761714.cmseq.csv,4.088431254,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.25_SRR1761714.cmseq.csv,8.233276158,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.11_SRR1761710.cmseq.csv,0.888585099,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.33_SRR1761714.cmseq.csv,4.164263052,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.101_SRR1761714.cmseq.csv,0,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.27_SRR1761710.cmseq.csv,4.962025316,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.105_SRR1761714.cmseq.csv,5.244338498,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.30_SRR1761714.cmseq.csv,0.459020354,Co-assembly
data/03_binning_analyses/singlerun_coassembly/cmseq/Child/refined_bins_50_10_renamed/Child_metawrap_refined_bin.38_SRR1761710.cmseq.csv,5.790960452,Co-assembly
